CPT-log version: 5.22
======== BEGIN OF TEST ========
DATE 31.10.2022

<Transmited Data>
<NEW BUTTON 14:19:01>
[^C][CR]
[^C][CR]
[^C][CR]
CLEAR[CR]
[^C][CR]
DOFF[CR]
[^C][CR]
SCAN E[CR]
[^C][CR]
[^C][CR]
CLEAR[CR]

<START BUTTON 14:29:32>
[^C][CR]
[^C][CR]
DRON[CR]
SCAN E[CR]
[^G][^G][^G][^G]
<PAUSE BUTTON 14:47:59>
[^C][CR]
[^C][CR]
DOFF[CR]
[^C][CR]
CLEAR[CR]

<END BUTTON 14:54:49>
[^C][CR]
SCAN E[CR]
[^C][CR]


<Received Data>
<NEW BUTTON 14:19:01>

>
Reset interface. Wait time for interface: 109
>
Reset interface. Wait time for interface: 110
>
Reset interface. Wait time for interface: 109CLEAR
OK
>
Command: CLEAR Wait time for interface: 109

>
Reset interface. Wait time for interface: 110DOFF
OK
>
Command: DOFF Wait time for interface: 109

>
Reset interface. Wait time for interface: 16SCAN E
Z,0,0,0,0,0,2750
F,14665,15632,0,0,565,3538[CR],2190011015
C,21206,1066,0,0,564,3537[CR],2190011453
F,14660,15634,0,0,564,3537[CR],2190011781
A,35404,14659,0,0,564,3536[CR],2190012218
C,21204,1048,0,0,565,3536[CR],2190012546
F,14655,15634,0,0,565,3536[CR],2190012984
C,21198,1042,0,0,564,3535[CR],2190013312
F,14663,15638,0,0,563,3534[CR],2190013750
A,35352,14654,0,0,564,3535[CR],2190014187
C,21188,1048,0,0,564,3535[CR],2190014515
F,14664,15630,0,0,566,3534[CR],2190014953
C,21188,1052,6,24,611,3742[CR],2190015281
F,14829,14913,14,20,612,3785[CR],2190015718
C,23772,1026,22,22,609,3801[CR],2190016046
A,35352,14867,30,18,605,3824[CR],2190016484
C,24152,1066,39,20,601,3840[CR],2190016921
F,14869,14700,47,22,600,3837[CR],2190017250
C,24102,1052,55,18,600,3837[CR],2190017687
F,14952,14638,63,21,603,3844[CR],2190018015
A,35332,14915,71,22,608,3845[CR],2190018453
C,23866,1048,79,19,608,3847[CR],2190018859
F,14910,14405,88,21,606,3860[CR],2190019218
C,23754,1052,96,22,606,3858[CR],2190019656
F,14916,14336,105,19,605,3827[CR],2190019984
A,35360,14907,113,21,604,3823[CR],2190020421
C,23152,1060,121,22,605,3817[CR],2190020750
F,14879,14659,130,20,608,3813[CR],2190021187
C,22850,1066,138,21,605,3810[CR],2190021625
F,14870,14372,147,23,605,3809[CR],2190021953
C,22550,1066,155,19,603,3801[CR],2190022390
A,35360,14838,163,21,605,3804[CR],2190022718
C,22098,1060,171,24,607,3803[CR],2190023156
F,14820,14495,180,19,607,3794[CR],2190023484
C,21886,1060,188,21,607,3778[CR],2190023921
F,14828,14588,196,22,608,3773[CR],2190024359
A,35336,14919,205,21,609,3776[CR],2190024687
C,21660,1062,213,21,612,3771[CR],2190025125
F,14897,14563,221,23,612,3773[CR],2190025453
C,21520,1066,230,20,612,3766[CR],2190025890
F,14874,14565,238,22,611,3765[CR],2190026218
A,35332,14863,246,23,608,3770[CR],2190026656
C,21160,1060,255,19,608,3772[CR],2190027109
F,14856,14184,263,22,607,3781[CR],2190027421
C,20962,1060,271,24,608,3794[CR],2190027859
F,14864,14290,279,20,607,3812[CR],2190028187
C,20910,1082,287,22,604,3825[CR],2190028625
A,35316,14877,295,19,605,3847[CR],2190028953
C,20826,1066,304,20,604,3874[CR],2190029359
F,14896,14219,312,22,604,3899[CR],2190029718
C,20794,1066,320,18,604,3926[CR],2190030156
F,14932,14212,329,20,606,3946[CR],2190030593
A,35320,14952,337,22,608,3963[CR],2190030921
C,21058,1066,345,19,609,3984[CR],2190031359
F,14976,14213,353,20,609,4005[CR],2190031687
C,21186,1070,361,22,610,4034[CR],2190032125
F,14991,14117,369,19,608,4064[CR],2190032453
A,35300,14992,378,20,609,4089[CR],2190032890
C,21296,1066,386,22,607,4112[CR],2190033328
F,15004,14087,394,19,609,4131[CR],2190033656
C,21324,1070,402,21,608,4150[CR],2190034093
F,15010,14193,410,23,608,4167[CR],2190034421
C,21294,1060,419,20,607,4163[CR],2190034859
A,35288,15004,427,22,608,4147[CR],2190035187
C,21278,1066,435,23,610,4132[CR],2190035625
F,14999,14329,444,20,610,4112[CR],2190036062
C,21176,1066,452,22,610,4100[CR],2190036390
F,15003,14334,460,19,605,4087[CR],2190036828
A,35324,15024,469,21,604,4066[CR],2190037171
C,21322,1078,477,22,603,4035[CR],2190037593
F,15040,14560,486,24,603,4014[CR],2190037953
C,21392,1066,494,20,604,3988[CR],2190038359
F,15060,14681,503,22,604,3971[CR],2190038796
A,35272,15079,511,24,605,3952[CR],2190039125
C,21606,1060,519,20,606,3942[CR],2190039484
F,15101,14795,528,22,608,3947[CR],2190039890
C,21876,1062,536,22,608,3956[CR],2190040328
F,15153,14710,544,19,607,3967[CR],2190040656
C,22244,1066,553,22,602,3987[CR],2190041093
A,35336,15257,560,21,603,4004[CR],2190041531
C,22146,1062,569,20,604,4022[CR],2190041859
F,15265,15738,577,21,603,4034[CR],2190042296
C,22278,1036,585,18,604,4056[CR],2190042625
F,15282,15731,594,20,603,4086[CR],2190043062
A,35284,15289,602,22,604,4114[CR],2190043390
C,22696,1060,609,19,603,4145[CR],2190043828
F,15308,15786,618,21,600,4164[CR],2190044265
C,22968,1082,626,22,598,4190[CR],2190044593
F,15321,15810,634,21,601,4182[CR],2190045031
A,35272,15324,643,21,606,4169[CR],2190045359
C,23190,1060,651,22,606,4189[CR],2190045796
F,15319,15580,659,20,608,4210[CR],2190046125
C,23332,1066,667,21,608,4237[CR],2190046562
F,15324,15466,676,22,609,4229[CR],2190047000
C,23372,1066,684,19,599,4247[CR],2190047328
A,35268,15308,692,21,600,4271[CR],2190047765
C,23494,1066,700,22,602,4270[CR],2190048109
F,15321,14575,708,20,603,4265[CR],2190048531
C,23572,1060,716,21,613,4258[CR],2190048859
F,15332,14543,725,19,611,4259[CR],2190049296
A,35260,15326,733,21,611,4247[CR],2190049734
C,23344,1060,742,22,608,4232[CR],2190050062
F,15313,14421,750,21,609,4235[CR],2190050500
C,23204,1060,758,20,608,4231[CR],2190050828
F,15312,14350,767,22,608,4212[CR],2190051265
A,35236,15303,775,21,608,4208[CR],2190051593
C,22956,1060,783,21,607,4199[CR],2190052031
F,15301,14435,792,22,608,4191[CR],2190052468
C,22892,1066,800,21,608,4178[CR],2190052796
F,15304,14571,809,20,608,4160[CR],2190053234
C,22906,1066,817,22,606,4155[CR],2190053562
A,35292,15300,825,19,607,4150[CR],2190054000
C,22916,1070,834,20,607,4146[CR],2190054328
F,15325,14851,842,22,606,4148[CR],2190054765
