unit,site,position,d_avg,sigma_v0,u0,sigma_v0_eff,cv,rate_avg,rate_std,rate_desired,V,qc_value_avg,qc_value_std,qc_value_ref,qc_k,qt_value_avg,qt_value_std,qt_value_ref,qt_k,fs_value_avg,fs_value_std,fs_value_ref,fs_k,u_value_avg,u_value_std,u_value_ref,u_k,du_value_avg,du_value_std,du_value_ref,du_k,ft_value_avg,ft_value_std,ft_value_ref,ft_k,qn_value_avg,qn_value_std,qn_value_ref,qn_k,qe_value_avg,qe_value_std,qe_value_ref,qe_k,du_sig_v0_eff_value_avg,du_sig_v0_eff_value_std,du_sig_v0_eff_value_ref,du_sig_v0_eff_k,Qt__value_avg,Qt__value_std,Qt__value_ref,Qt__k,Bq__value_avg,Bq__value_std,Bq__value_ref,Bq__k,Fr__value_avg,Fr__value_std,Fr__value_ref,Fr__k,Rf__value_avg,Rf__value_std,Rf__value_ref,Rf__k,qt_sigma_v0_eff,fs_sigma_v0_eff,qt_sigma_v0,du_sigma_v0_eff
0-2,NGTS: Tiller-Flotten,TILC85,10.599999999999994,185.9476621417798,44.228571428571406,141.71909071320835,0.4312707692307691,19.9496099818239,3.9971238805290388,20.0,1650.5908962899732,698.1398912674827,19.612167657875563,695.3171150553104,1.0040596961459056,777.5491817596646,20.023889464450633,774.986004200414,1.003307385611299,3.5455187669405808,0.3214702393682519,4.943470705865975,0.7172124561663591,625.2700038754493,11.632296596006253,626.9205310331646,0.9973672466030181,581.0870235965594,11.305717250930572,582.7276498257785,0.9971845745955087,2.0695577270053196,0.33731149662347937,3.4675615623939073,0.5968337374164902,591.9186554346126,18.337308866447053,589.2471310268758,1.0045337928130107,152.27917788421536,19.763242915504367,147.74794832326336,1.0306686462477161,4.111336270965624,0.11982965427208526,4.118445393761791,0.9982738334209954,4.18837445578363,0.16814345351780735,4.170965535768235,1.004173834539294,0.9825250197887554,0.03243758561446022,0.9899499976517786,0.9924996435369102,0.5997401521320835,0.059391318208337714,0.8441370822379168,0.7104772018095623,0.45661710426127183,0.04643584335873746,0.6409215759619687,0.7124383409560342,5.486552149372465,0.025017933357443813,4.181548575570719,4.100273440029922
0-2,NGTS: Tiller-Flotten,TILC87,10.599999999999994,185.9476621417798,44.228571428571406,141.71909071320835,0.4312707692307691,43.62088526198248,15.828723187395266,35.0,3609.1049482740364,730.2170796208529,21.079816606815637,695.3171150553104,1.0501928743157234,810.9437078437046,21.29828503267087,774.986004200414,1.0463978748627722,4.873658520502782,0.3013086819863826,4.943470705865975,0.9858779004636655,635.6427419122192,12.056239338915715,626.9205310331646,1.013912785508365,591.3451986382503,11.870035948004102,582.7276498257785,1.0147882957245091,3.371641715961627,0.3087912335100289,3.4675615623939073,0.9723379542925664,624.4074988615229,21.04351646239601,589.2471310268758,1.0596699856194012,175.3009659314855,22.53020667939334,147.74794832326336,1.186486634304646,4.160998021406636,0.13791596262572975,4.118445393761791,1.0103322063488567,4.394664741270211,0.20901331806797258,4.170965535768235,1.053632475162798,0.9481127218119829,0.03548916088354026,0.9899499976517786,0.9577379908691992,0.7816004045878568,0.05712805349510834,0.8441370822379168,0.9259164429973066,0.6016388442279691,0.04365228902176449,0.6409215759619687,0.9387089884202453,5.722191017191758,0.03438956950666176,4.361139572840572,4.17265730158355
0-2,NGTS: Tiller-Flotten,TILC88,10.599999999999994,185.9476621417798,44.228571428571406,141.71909071320835,0.4312707692307691,26.794932605073658,2.6897003540062903,25.0,2216.959222006527,710.9591362383832,16.592526282671333,695.3171150553104,1.022496240699941,792.1119452711537,16.718380949142595,774.986004200414,1.0220983875552814,5.146,0.6161850371438762,4.943470705865975,1.0409690491123376,638.9984963210285,10.630005613198353,626.9205310331646,1.019265544339343,594.7474121306019,10.551479388028682,582.7276498257785,1.0206267238364561,3.635341573188271,0.6194388407000776,3.4675615623939073,1.0483855896356553,605.9439199017969,15.784192664569584,589.2471310268758,1.0283358000332115,153.11344895012516,18.5779482838519,147.74794832326336,1.0363152293331506,4.19490238498609,0.14738696078627223,4.118445393761791,1.0185645271247517,4.2740001551106594,0.17415073684902765,4.170965535768235,1.024702822034574,0.9821427551662816,0.02934976124899072,0.9899499976517786,0.9921134981524155,0.8495628304093981,0.10220781432166906,0.8441370822379168,1.006427567613896,0.6502503350746739,0.08151959106215861,0.6409215759619687,1.0145552271332159,5.589310101305414,0.03631126882131758,4.259865040234767,4.19666404249072
0-2,NGTS: Tiller-Flotten,TILC89,10.599999999999994,185.9476621417798,44.228571428571406,141.71909071320835,0.4312707692307691,40.80023537946302,14.25355385054264,35.0,3375.7300090170856,709.0052628590655,15.238854182216786,695.3171150553104,1.0196861942664337,791.0251033275476,15.473478052175254,774.986004200414,1.020695985527741,6.544229961431283,0.3885698737084623,4.943470705865975,1.3238128332925752,645.825515499861,11.717697217207782,626.9205310331646,1.0301553124054512,601.6197548466149,11.642589761344762,582.7276498257785,1.0324201280417786,5.016115784120881,0.39516237686757594,3.4675615623939073,1.4465830509027489,605.2128846668555,14.536242282070308,589.2471310268758,1.0270951741625902,145.19958782768677,17.39414677224814,147.74794832326336,0.9827519737194527,4.2530710968675,0.1596859530400014,4.118445393761791,1.0326884759258013,4.278671651035093,0.17548889068129528,4.170965535768235,1.0258228255168307,0.994562276240983,0.028178809852774624,0.9899499976517786,1.004659102581085,1.0817705663017867,0.06673371747385043,0.8441370822379168,1.2815105378783653,0.8277785101985622,0.05406858587576908,0.6409215759619687,1.2915441471230502,5.581641113746035,0.046177476361844556,4.254020159309201,4.245156752127985
0-2,NGTS: Tiller-Flotten,TILC90,10.599999999999994,185.9476621417798,44.228571428571406,141.71909071320835,0.4312707692307691,51.85567528754153,9.204913086868954,50.0,4290.435032492784,746.7499999999999,20.040454278591277,695.3171150553104,1.0739703997371015,828.6403471005058,20.510945444462926,774.986004200414,1.0692326604729454,3.4461070576109383,0.227400635911065,4.943470705865975,0.697102756879241,644.8058826811487,11.851272326938908,626.9205310331646,1.0285288976236096,600.371701215164,11.488328501611331,582.7276498257785,1.0302783837263612,1.9211629365244216,0.24228312412616476,3.4675615623939073,0.554038595121035,641.0160733357138,17.94764446283878,589.2471310268758,1.0878560786857303,183.8344644193573,19.826374148524305,147.74794832326336,1.2442437712714554,4.196098182340935,0.12093405724025189,4.118445393761791,1.018854878760021,4.480084006443142,0.15614152281457744,4.170965535768235,1.0741119695245747,0.9372348796169014,0.028710069778917793,0.9899499976517786,0.9467497164908121,0.5385479681367261,0.04624153962834584,0.8441370822379168,0.6379863880745124,0.41657309947171933,0.03571855347006211,0.6409215759619687,0.6499595505838269,5.8470622619036865,0.024316463225019534,4.4563095741891665,4.236350220663734
0-3,NGTS: Tiller-Flotten,TILC44,12.100000000000001,213.30564533505725,47.65714285714285,165.6485024779144,0.4788323076923078,15.192126444957264,2.243570276069561,15.0,1132.1140503955992,714.8095581553838,21.931792298822568,732.2303240609594,0.976208625437745,798.9169256710237,23.402617334375094,816.2353361694474,0.9787825768733585,5.470908765246568,0.32307607359586127,4.756192540455245,1.1502706668647422,662.2627363436201,21.913952159925966,665.1645985679327,0.995637377228794,614.7699115536894,21.230770394312895,617.5767474793995,0.9954550815956624,3.909393189900197,0.3297713154182832,3.1889146268028403,1.2259322206501646,586.9628426037369,19.543298206017198,603.799062639616,0.9721161871926789,136.6541893274037,21.021044623905173,152.39183183694905,0.896729094205103,3.7404993148957932,0.11150414987636467,3.7444583017791486,0.9989427077124949,3.573019112720116,0.15001842566183127,3.6685399273017354,0.9739621711976633,1.0480545526433984,0.03883960805307635,1.0225161862394652,1.0249760020893717,0.932648050901453,0.056532690479805095,0.7896748765812717,1.181053213873478,0.6850798588290304,0.04063508283063413,0.5834907310231353,1.1741058124912478,4.822964975355221,0.03302721535907633,3.745409196348729,3.711291695109985
0-3,NGTS: Tiller-Flotten,TILC50,12.100000000000001,213.30564533505725,47.65714285714285,165.6485024779144,0.4788323076923078,52.6070217060631,7.59261965750484,65.0,3920.2641341014614,775.6466666666666,23.432907535249566,732.2303240609594,1.059293286796591,865.3532577777778,24.677514797811735,816.2353361694474,1.0601761764429833,3.7777777777777772,0.28665805327283733,4.756192540455245,0.7942861323726357,706.3511111111111,15.879989115896377,665.1645985679327,1.0619192792759131,658.4298412698413,15.095457634642766,617.5767474793995,1.066150634649347,2.1053659809523806,0.2904165698949488,3.1889146268028403,0.6602139684947258,650.074251720654,20.94671963679048,603.799062639616,1.0766400478972886,159.00214666666668,18.911446161901246,152.39183183694905,1.0433770941003604,3.9371722970712697,0.09255155685551131,3.7444583017791486,1.051466455161366,3.8882527611096824,0.15646563710916586,3.6685399273017354,1.0598910842356701,1.0135645241351146,0.030225065653572504,1.0225161862394652,0.9912454568203244,0.5813067912021774,0.043124565740276816,0.7896748765812717,0.7361343363471569,0.4367305335563203,0.03343470629219282,0.5834907310231353,0.7484789566245981,5.2240330871276885,0.022805988108956562,4.056869926806176,3.9748614169188063
0-3,NGTS: Tiller-Flotten,TILC51,12.100000000000001,213.30564533505725,47.65714285714285,165.6485024779144,0.4788323076923078,51.70751895273869,8.248106446172544,50.0,3853.233379118106,758.6983251231527,38.18057789681854,732.2303240609594,1.0361470976992613,847.1826722660098,39.65018920380998,816.2353361694474,1.0379147222929563,4.943193760262726,0.4129465162474262,4.756192540455245,1.0393174200196658,696.7271428571429,20.84005018796104,665.1645985679327,1.0474507277704839,649.0234262256627,20.221757097231645,617.5767474793995,1.0509194668915416,3.2946742576495427,0.4036776146208013,3.1889146268028403,1.0331647733551073,633.582694403459,37.16984067555594,603.799062639616,1.049327058630463,150.45552940886708,32.41373964214419,152.39183183694905,0.9872939224842857,3.9151308749128937,0.12133072522571121,3.7444583017791486,1.0455800437282614,3.8228501534163764,0.24276472018794656,3.6685399273017354,1.0420631175270152,1.027440367146205,0.060700873437459134,1.0225161862394652,1.004815748614063,0.7831276916009048,0.0836808953798099,0.7896748765812717,0.9917090119306929,0.5846537702519712,0.055358028721413564,0.5834907310231353,1.0019932437089387,5.114339457303353,0.029841463619158237,3.971684251184577,3.9180760255420704
0-3,NGTS: Tiller-Flotten,TILC52,12.100000000000001,213.30564533505725,47.65714285714285,165.6485024779144,0.4788323076923078,50.38067545713703,10.935507200205418,50.0,3754.3572823788463,775.5222401289283,27.385115027103854,732.2303240609594,1.0591233586556088,863.402085015835,30.158718238529797,816.2353361694474,1.0577857227643916,5.737657802847167,0.4271390137370438,4.756192540455245,1.20635524193854,691.9672825740682,32.26175688869365,665.1645985679327,1.0402948143419546,644.4496821678657,31.62260121017245,617.5767474793995,1.0435135143901488,4.100755610140788,0.4133743037280632,3.1889146268028403,1.285940857642886,651.2612574905244,24.81652247111404,603.799062639616,1.0786059432477735,171.4348024417667,23.695199011403272,152.39183183694905,1.1249605728553258,3.9165943373188217,0.16091735552817657,3.7444583017791486,1.0459708779392427,3.959320289431232,0.14531850658567871,3.6685399273017354,1.0792632403876736,0.9897294812511278,0.03858504446675516,1.0225161862394652,0.9679352704342824,0.8815570530185629,0.06624130162981834,0.7896748765812717,1.1163544379619565,0.6647828299780892,0.04856504172309017,0.5834907310231353,1.1393202918792051,5.2122540928551455,0.03463754707720438,4.0477226172782075,3.8904648851491364
0-3,NGTS: Tiller-Flotten,TILC53,12.100000000000001,213.30564533505725,47.65714285714285,165.6485024779144,0.4788323076923078,35.103138669601734,14.147847835591689,30.0,2615.8784713138293,756.6334999561519,38.99290279148023,732.2303240609594,1.0333271855771449,842.7349065361091,39.816376395204884,816.2353361694474,1.0324656005350403,3.807804232804232,0.2927230147912576,4.756192540455245,0.8005992609457654,677.9638313382443,23.86214972735864,665.1645985679327,1.0192422038061975,630.6494141631483,23.388568689594145,617.5767474793995,1.0211676795428326,2.205954720829835,0.30572128441212054,3.1889146268028403,0.6917572211839027,632.1713858359682,37.8693666580148,603.799062639616,1.0469896774471916,164.77107519786472,39.64125498974928,152.39183183694905,1.081232984810897,3.8664073564671813,0.15279420714883535,3.7444583017791486,1.0325678762746775,3.8769901683196135,0.2616863758714839,3.6685399273017354,1.0568210364746382,1.0024254635036887,0.09293483667697067,1.0225161862394652,0.9803516824416593,0.6056455362502694,0.07245700705286344,0.7896748765812717,0.7669555588146378,0.4531863166487451,0.04511316952762143,0.5834907310231353,0.7766812608215645,5.087488832858416,0.022987254190915,3.9508326430477445,3.8071543342037253
0-3,NGTS: Tiller-Flotten,TILC54,12.100000000000001,213.30564533505725,47.65714285714285,165.6485024779144,0.4788323076923078,25.51287143818865,1.2239926938971204,25.0,1901.2137850325273,747.4433722310494,23.375391200062523,732.2303240609594,1.0207763154163272,833.7198412658369,25.513007677202282,816.2353361694474,1.0214209117415125,3.6873374011144073,0.3616636110895327,4.756192540455245,0.7752708431693283,679.3422758644695,27.13981198715325,665.1645985679327,1.0213145397801697,631.813728961929,26.457404049318104,617.5767474793995,1.0230529752628104,2.0825305295511085,0.3765288693281096,3.1889146268028403,0.6530530833429754,621.4857053201948,21.1340653255207,603.799062639616,1.0292922658794113,154.37756540136743,21.704087316386293,152.39183183694905,1.0130304461891566,3.83753821669332,0.12318305725464122,3.7444583017791486,1.0248580455202145,3.776845218550465,0.1457233159982618,3.6685399273017354,1.0295227238615308,1.0170120898376596,0.03841787711941371,1.0225161862394652,0.9946171058454848,0.594043823433465,0.06288899804442867,0.7896748765812717,0.7522638000150778,0.44265342124931484,0.0457120763369491,0.5834907310231353,0.7586297394529883,5.0330659727937785,0.022260010479756873,3.9085690393062147,3.814183162000921
0-3,NGTS: Tiller-Flotten,TILC55,12.100000000000001,213.30564533505725,47.65714285714285,165.6485024779144,0.4788323076923078,21.525253135423306,4.695866365658711,20.0,1604.057312268059,742.0055857878762,26.54050476484509,732.2303240609594,1.0133499821104144,825.9420600670397,29.273086975323345,816.2353361694474,1.011892065275127,5.345896135872162,0.4730639421566425,4.756192540455245,1.1239864850720431,660.9171203083746,33.90285040039547,665.1645985679327,0.9936143951907502,613.3658041284615,33.29030888608353,617.5767474793995,0.9931815059939924,3.7879469933858707,0.4530907879997033,3.1889146268028403,1.1878483549067638,613.5289651044347,24.607332776283044,603.799062639616,1.016114470967018,165.0249397586652,25.6794736201912,152.39183183694905,1.0828988520541762,3.7213405439214022,0.1619688064492413,3.7444583017791486,0.9938261409275776,3.724114523189857,0.14506026997277263,3.6685399273017354,1.0151489685241064,1.0000372452100623,0.04417133182053948,1.0225161862394652,0.9780160536019735,0.8718803838751809,0.07731278462577572,0.7896748765812717,1.1041004465658073,0.647516099423983,0.057112856705922574,0.5834907310231353,1.1097281670414558,4.986112447211293,0.0322725292164046,3.8721059574849157,3.7028152681926016
