CPT-log version: 5.22
======== BEGIN OF TEST ========
DATE 20.09.2022

<Transmited Data>
<NEW BUTTON 13:56:24>
[^C][CR]
[^C][CR]
[^C][CR]
CLEAR[CR]
[^C][CR]
DOFF[CR]
[^C][CR]
SCANG[CR]
[^C][CR]
[^C][CR]
CLEAR[CR]

<START BUTTON 14:00:44>
[^C][CR]
[^C][CR]
DRON[CR]
SCANG[CR]

<PAUSE BUTTON 14:22:41>
[^C][CR]
[^C][CR]
DOFF[CR]
[^C][CR]
CLEAR[CR]

<END BUTTON 14:29:45>
[^C][CR]
SCANG[CR]
[^C][CR]


<Received Data>
<NEW BUTTON 13:56:24>

>
Reset interface. Wait time for interface: 94
>
Reset interface. Wait time for interface: 109
>
Reset interface. Wait time for interface: 110CLEAR
OK
>
Command: CLEAR Wait time for interface: 109

>
Reset interface. Wait time for interface: 109DOFF
OK
>
Command: DOFF Wait time for interface: 110

>
Reset interface. Wait time for interface: 109SCANG
Z,0,0,0,0
F,12662,14631,0,0[CR],2422337406
C,13276,274,0,0[CR],2422337843
F,12675,14629,0,0[CR],2422338281
A,36444,12688,0,0[CR],2422338609
F,12681,14621,0,0[CR],2422339046
C,13275,274,0,0[CR],2422339375
F,12717,14616,0,0[CR],2422339812
C,13275,274,0,0[CR],2422340140
F,12721,14606,0,0[CR],2422340578
C,13273,282,0,0[CR],2422341015
F,12745,14602,0,0[CR],2422341343
C,13273,280,0,0[CR],2422341781
F,12759,14598,0,0[CR],2422342109
C,13272,276,0,0[CR],2422342546
F,12788,14592,0,0[CR],2422342875
C,13271,262,0,0[CR],2422343312
F,12802,14590,0,0[CR],2422343750
C,13271,274,0,0[CR],2422344078
F,12813,14579,0,0[CR],2422344515
A,36420,12822,0,0[CR],2422344843
F,12816,14568,0,0[CR],2422345281
C,13267,278,0,0[CR],2422345609
F,12844,14562,0,0[CR],2422346046
C,13268,260,0,0[CR],2422346484
F,12855,14555,0,0[CR],2422346812
C,13267,282,0,0[CR],2422347250
F,12864,14552,0,0[CR],2422347578
C,13266,282,0,0[CR],2422348015
F,12876,14543,0,0[CR],2422348343
C,13266,278,0,0[CR],2422348781
F,12888,14543,0,0[CR],2422349218
C,13265,282,0,0[CR],2422349546
F,12908,14536,0,0[CR],2422349984
C,13264,274,0,0[CR],2422350312
F,12921,14531,0,0[CR],2422350750
A,36380,12930,0,0[CR],2422351078
F,12918,14531,0,0[CR],2422351515
C,13264,274,0,0[CR],2422351953
F,12955,14524,0,0[CR],2422352281
C,13264,278,0,0[CR],2422352718
F,12961,14520,0,0[CR],2422353046
